config,tout,video,flow,audio
poids_far_ood,-1.9537,-2.4476,-2.4168,0.0
far_ood_id,0.00889331754297018,-0.05270588397979736,-0.052168045192956924,0.0
far_ood_ood,0.03457775339484215,0.1620563417673111,-0.0471920482814312,0.0
poids_near_ood,-0.085,-0.2925,-0.6136,-0.7615
near_ood_vfa_id,0.024589158594608307,-0.08153963088989258,-0.10385545343160629,-0.11592907458543777
near_ood_vfa_ood,0.013352946378290653,0.28267204761505127,0.1414395123720169,0.10824225842952728
