method,UCF_fpr95,UCF_auroc,EPIC_fpr95,EPIC_auroc,HAC_fpr95,HAC_auroc
msp,40.593,88.0,13.455,96.42200000000001,28.62,91.568
ebo,37.058,89.712,7.184,97.598,23.033,94.447
maxlogit,37.058,89.729,7.07,97.726,23.147,94.25
Mahalanobis,27.708000000000002,91.211,12.429,96.1,7.754,98.21799999999999
react,37.286,89.685,7.184,97.458,20.866999999999997,95.056
ash,38.769,89.552,6.956,98.251,23.489,94.48200000000001
gen,37.4,91.235,5.131,99.024,24.287,94.32600000000001
knn,33.181,91.948,5.587000000000001,98.99,13.569,97.24799999999999
vim,26.91,92.274,5.587000000000001,98.06200000000001,6.385,98.56299999999999
