backbone,aggregation_method,dataset,layer_proc,fpr95,auroc,id_acc,exec_time
baseline,mean,HMDB,ash,0.4793028,0.844809,0.8856209,N/A
baseline,mean,UCF,ash,0.3009709,0.939821,0.9907767,N/A
baseline,mean,EPIC,ash,0.7555970,0.681447,0.6949627,N/A
baseline,max,HMDB,ash,0.7494553,0.743672,0.8932462,N/A
baseline,max,UCF,ash,0.5825243,0.865433,0.9941748,N/A
baseline,max,EPIC,ash,0.8638060,0.558922,0.6996269,N/A
