backbone,aggregation_method,dataset,layer_proc,fpr95,auroc,id_acc,exec_time
baseline,mean,EPIC,react,0.7425373,0.667590,0.7294776,N/A
baseline,max,EPIC,react,0.7854478,0.644498,0.7332090,N/A
