backbone,method,dataset,layer_proc,drop_modality,fpr95,auroc,id_acc,exec_time
baseline,msp,UCF,react,video,0.4333,0.8646,0.8689,0:00:00.080370
baseline,msp,HAC,react,video,0.3387,0.8981,0.8689,0:00:00.098575
baseline,msp,EPIC,react,video,0.1699,0.9598,0.8689,0:00:00.105646
baseline,msp,UCF,react,flow,0.4778,0.8598,0.8700,0:00:00.100032
baseline,msp,HAC,react,flow,0.4356,0.8849,0.8700,0:00:00.105235
baseline,msp,EPIC,react,flow,0.1756,0.9582,0.8700,0:00:00.107998
