backbone,method,dataset,layer_proc,drop_modality,fpr95,auroc,id_acc,exec_time
baseline,msp,HMDB,react,video,0.4357,0.8785,0.8954,0:00:00.611581
baseline,msp,UCF,react,video,0.2408,0.9540,0.9922,0:00:00.083722
baseline,msp,EPIC,react,video,0.7966,0.6697,0.7164,0:00:00.038668
baseline,msp,HMDB,react,flow,0.4488,0.8744,0.8998,0:00:00.605945
baseline,msp,UCF,react,flow,0.2184,0.9587,0.9932,0:00:00.085213
baseline,msp,EPIC,react,flow,0.7929,0.6656,0.7071,0:00:00.039791
