backbone,method,dataset,layer_proc,fpr95,auroc,id_acc,exec_time
baseline,mean,EPIC,react,0.7631,0.6683,0.7295,N/A
baseline,max,EPIC,react,0.7164,0.6941,0.7295,N/A
baseline,min,EPIC,react,0.7687,0.6522,0.7295,N/A
baseline,max_perturbation,EPIC,react,0.7556,0.6659,0.7295,N/A
