modality,UCF_fpr95,UCF_auroc,EPIC_fpr95,EPIC_auroc,HAC_fpr95,HAC_auroc
video,43.33,86.46000000000001,16.99,95.98,33.87,89.81
flow,47.78,85.98,17.560000000000002,95.82000000000001,43.56,88.49000000000001
