backbone,method,dataset,layer_proc,fpr95,auroc,id_acc,exec_time
baseline,mean,EPIC,react,0.7500,0.6780,0.7295,N/A
baseline,max,EPIC,react,0.7313,0.6966,0.7295,N/A
baseline,min,EPIC,react,,0.7593,0.6585,0.7295,N/A
baseline,max_perturbation,EPIC,react,,0.7313,0.6778,0.7295,N/A
